t_s,phase,battery_v,drivetrain_a,intake_arms_a,intake_spinner_a,shooting_a
20.600,teleop,12.084,0.8,0.0,0.0,0.0
20.650,teleop,12.071,0.8,0.0,0.0,0.0
20.700,teleop,12.052,0.8,0.0,0.0,0.0
20.750,teleop,12.065,0.8,0.0,0.0,0.0
20.800,teleop,12.084,1.2,0.0,0.0,0.0
20.850,teleop,12.071,1.2,0.0,0.0,0.0
20.900,teleop,12.084,1.2,0.0,0.0,0.0
20.950,teleop,12.090,1.2,0.0,0.0,0.0
21.000,teleop,12.052,1.2,0.0,0.0,0.0
21.050,teleop,12.071,0.4,0.0,0.0,0.0
21.100,teleop,12.058,0.4,0.0,0.0,0.0
21.150,teleop,12.052,0.4,0.0,0.0,0.0
21.200,teleop,12.084,0.4,0.0,0.0,0.0
21.250,teleop,12.065,0.4,0.0,0.0,0.0
21.300,teleop,12.109,0.9,0.0,0.0,0.0
21.350,teleop,12.065,0.9,0.0,0.0,0.0
21.400,teleop,12.077,0.9,0.0,0.0,0.0
21.450,teleop,12.084,0.9,0.0,0.0,0.0
21.500,teleop,12.052,0.9,0.0,0.0,0.0
21.550,teleop,12.058,0.8,0.0,0.0,0.0
21.600,teleop,12.071,0.8,0.0,0.0,0.0
21.650,teleop,12.090,0.8,0.0,0.0,0.0
21.701,teleop,12.077,0.8,0.0,0.0,0.0
21.750,teleop,12.084,0.8,0.0,0.0,0.0
21.800,teleop,12.071,0.4,0.0,0.0,0.0
21.850,teleop,12.058,0.4,0.0,0.0,0.0
21.901,teleop,12.077,0.4,0.0,0.0,0.0
21.952,teleop,12.058,0.4,0.0,0.0,0.0
22.000,teleop,12.077,0.4,0.0,0.0,0.0
22.050,teleop,12.090,0.2,0.0,0.0,0.0
22.100,teleop,12.090,0.2,0.0,0.0,0.0
22.150,teleop,12.077,0.2,0.0,0.0,0.0
22.200,teleop,12.071,0.2,0.0,0.0,0.0
22.250,teleop,12.071,0.2,0.0,0.0,0.0
22.300,teleop,12.058,0.4,0.0,0.0,0.0
22.350,teleop,12.071,0.4,0.0,0.0,0.0
22.400,teleop,12.084,0.4,0.0,0.0,0.0
22.450,teleop,12.077,0.4,0.0,0.0,0.0
22.501,teleop,12.090,0.4,0.0,0.0,0.0
22.552,teleop,12.096,0.8,0.0,0.0,0.0
22.601,teleop,12.058,0.8,0.0,0.0,0.0
22.651,teleop,12.084,0.8,0.0,0.0,0.0
22.701,teleop,12.077,0.8,0.0,0.0,0.0
22.750,teleop,12.046,0.8,0.0,0.0,0.0
22.800,teleop,12.084,0.5,0.0,0.0,0.0
22.850,teleop,12.077,0.5,0.0,0.0,0.0
22.900,teleop,12.084,0.5,0.0,0.0,0.0
22.950,teleop,12.084,0.5,0.0,0.0,0.0
23.000,teleop,12.046,0.5,0.0,0.0,0.0
23.050,teleop,12.065,0.7,0.0,0.0,0.0
23.100,teleop,12.052,0.7,0.0,0.0,0.0
23.150,teleop,12.065,0.7,0.0,0.0,0.0
23.200,teleop,12.077,0.7,0.0,0.0,0.0
23.251,teleop,12.084,0.7,0.0,0.0,0.0
23.300,teleop,12.084,0.7,0.0,0.0,0.0
23.350,teleop,12.071,0.7,0.0,0.0,0.0
23.401,teleop,12.084,0.7,0.0,0.0,0.0
23.450,teleop,12.046,0.7,0.0,0.0,0.0
23.503,teleop,12.058,0.7,0.0,0.0,0.0
23.551,teleop,12.040,4.0,0.0,0.0,0.0
23.600,teleop,12.040,4.0,0.0,0.0,0.0
23.651,teleop,10.067,4.0,0.0,0.0,0.0
23.700,teleop,10.865,4.0,0.0,0.0,0.0
23.750,teleop,11.575,4.0,0.0,0.0,0.0
23.800,teleop,11.864,4.1,0.0,0.0,0.0
